radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,645,3,130,3282,0,28.070755004883,-14.902267456055,1000,1,1,1459743588,1459743588,0
GSM,645,3,10004,62893,0,28.275381,-15.47171,2852,40,1,1459772900,1549246064,0
GSM,645,2,11108,2972,0,28.329006,-15.437405,1845,85,1,1459774040,1549515833,0
GSM,645,3,10004,62892,0,28.288076,-15.470607,1322,34,1,1459772900,1549279191,0
GSM,645,3,1,33083,0,28.253038,-15.461476,1000,64,1,1369370001,1369383128,0
GSM,645,3,1,33081,0,28.251343,-15.452957,1000,2,1,1369353306,1369353306,0
GSM,645,3,1,33933,0,28.249741,-15.445175,1000,3,1,1369353496,1369353496,0
GSM,645,3,1,32221,0,28.252716,-15.439224,1000,2,1,1369353852,1369353852,0
GSM,645,3,1,33932,0,28.255325,-15.436752,1000,5,1,1369353888,1369353888,0
GSM,645,3,1,31662,0,28.258072,-15.434555,1000,5,1,1369353960,1369353960,0
GSM,645,3,1,32453,0,28.257522583008,-15.429611206055,1000,1,1,1369353924,1369353924,0
GSM,645,3,1,31762,0,28.257828,-15.424118,1000,9,1,1369354351,1369354351,0
GSM,645,3,1,31513,0,28.268508911133,-15.40901184082,1000,1,1,1369354596,1369354596,0
GSM,645,3,1,31641,0,28.275664,-15.413098,1000,81,1,1369372147,1369372147,0
GSM,645,3,1,31644,0,28.275768,-15.413132,1000,7,1,1369372103,1369372103,0
GSM,645,3,1,31514,0,28.275375366211,-15.413131713867,1000,1,1,1369370704,1369370704,0
GSM,645,3,1,31624,0,28.278121948242,-15.419998168945,1000,1,1,1369372365,1369372365,0
GSM,645,3,1,31621,0,28.278121948242,-15.422744750977,1000,1,1,1369372409,1369372409,0
GSM,645,3,1,31623,0,28.279495239258,-15.426864624023,1000,1,1,1369372557,1369372557,0
GSM,645,3,1,31622,0,28.281212,-15.430985,1000,4,1,1369372865,1369372865,0
GSM,645,3,1,31626,0,28.276748657227,-15.436477661133,1000,1,1,1369372880,1369372880,0
GSM,645,3,1,32452,0,28.266037,-15.453232,1000,5,1,1369373712,1369373712,0
GSM,645,3,1,31601,0,28.253402709961,-15.46257019043,1000,5,1,1369380557,1369380557,0
GSM,645,3,1,32222,0,28.253402709961,-15.46257019043,1000,2,1,1369379984,1369379984,0
GSM,645,2,20003,551,0,26.247482,-17.253641,8497,4,1,1459699182,1537545625,0
GSM,645,1,10119,31421,0,31.316682,-9.239495,13483,3,1,1459768212,1503554998,0
GSM,645,2,10112,30262,0,28.23555,-12.813034,1000,3,1,1223547487,1223547487,0
GSM,645,2,10112,30104,0,28.204561,-12.80983,9422,69,1,1223547491,1223547491,0
GSM,645,2,10112,30503,0,28.201217651367,-12.809371948242,1000,8,1,1223547489,1223547489,0
GSM,645,2,10112,30101,0,28.203811,-12.810822,10472,18,1,1223547489,1223547489,0
GSM,645,2,10112,30506,0,28.210391,-12.812449,7927,25,1,1223547491,1223547491,0
GSM,645,3,2,40303,0,28.648910522461,-12.972793579102,1000,1,1,1239145879,1239145879,0
GSM,645,2,10103,291,0,28.392105102539,-15.363693237305,1000,1,1,1239145881,1239145881,0
GSM,645,1,350,2174,0,25.85563659668,-17.84797668457,1000,9,1,1239145881,1239145881,0
GSM,645,1,350,2171,0,25.85563659668,-17.84797668457,1000,1,1,1239145881,1239145881,0
GSM,645,1,120,8087,0,28.275375366211,-15.355453491211,1000,1,1,1239145881,1239145881,0
GSM,645,1,120,269,0,28.281156,-15.429152,45100,2000,1,1239165681,1502518691,0
GSM,645,1,120,8369,0,28.279879,-15.433133,6822,991,1,1239165681,1441166497,0
GSM,645,1,120,8367,0,28.286295,-15.420386,6322,500,1,1239165682,1502519555,0
GSM,645,1,120,8368,0,28.294623,-15.423822,2330,500,1,1239165683,1502425902,0
GSM,645,1,160,97,0,28.295916,-15.427464,4729,500,1,1239165683,1501920983,0
GSM,645,1,160,617,0,28.297476,-15.428335,5152,500,1,1239165683,1501744087,0
GSM,645,1,160,98,0,28.298965,-15.43444,2087,348,1,1239165683,1501744087,0
GSM,645,1,160,799,0,28.295217,-15.436738,7087,500,1,1239165683,1501726037,0
GSM,645,1,160,447,0,28.305893,-15.428534,3038,446,1,1239165684,1501726238,0
GSM,645,1,160,798,0,28.309405,-15.429953,3646,500,1,1239165685,1501473654,0
GSM,645,1,160,797,0,28.30312,-15.422819,1903,500,1,1239165685,1501920746,0
GSM,645,1,160,9078,0,28.307019,-15.419027,12391,1425,1,1239165685,1501726676,0
GSM,645,1,160,9079,0,28.286922,-15.420254,46155,2000,1,1239165685,1501921295,0
GSM,645,1,160,9077,0,28.300822,-15.412833,5127,1924,1,1239165686,1501861339,0
GSM,645,1,160,37,0,28.306209,-15.413792,4731,500,1,1239165686,1501478036,0
GSM,645,1,120,418,0,28.308073,-15.404936,1000,63,1,1239145979,1239145979,0
GSM,645,1,120,9136,0,28.305894,-15.402923,1000,166,1,1239145979,1239145979,0
GSM,645,1,120,417,0,28.306574,-15.40114,1000,71,1,1239145979,1239145979,0
GSM,645,1,120,9134,0,28.306947,-15.399062,1000,98,1,1239145980,1239145980,0
GSM,645,1,120,948,0,28.307703,-15.39902,1000,87,1,1239145979,1239145979,0
GSM,645,1,120,8318,0,28.306486,-15.399399,1000,26,1,1239145980,1239145980,0
GSM,645,1,120,947,0,28.306961,-15.388102,1000,31,1,1239145891,1239145891,0
GSM,645,1,120,658,0,28.300906,-15.384105,1000,66,1,1239145891,1239145891,0
GSM,645,1,120,507,0,28.314999,-15.386878,1000,34,1,1239145891,1239145891,0
GSM,645,1,120,509,0,28.316847,-15.39167,11545,121,1,1239145944,1239145944,0
GSM,645,1,120,508,0,28.318304,-15.389896,1000,50,1,1239145972,1239145972,0
GSM,645,1,120,8048,0,28.293429,-15.415102,3807,2000,1,1239165701,1502452519,0
GSM,645,1,120,69,0,28.276708,-15.412204,4129,2000,1,1239165702,1502553292,0
GSM,645,1,120,88,0,28.287941,-15.411282,2910,2000,1,1239165702,1502554725,0
GSM,645,1,120,828,0,28.284228,-15.406536,3179,2000,1,1239165702,1502554202,0
GSM,645,1,120,87,0,28.278668,-15.408947,3394,1999,1,1239165702,1502554727,0
GSM,645,1,120,827,0,28.262562,-15.401398,4463,1999,1,1239165704,1502517787,0
GSM,645,1,120,829,0,28.269795,-15.404497,3056,2000,1,1239165704,1502517896,0
GSM,645,1,120,297,0,28.275981,-15.412469,2427,1999,1,1239165704,1502554727,0
GSM,645,1,120,217,0,28.275053,-15.412275,2290,2000,1,1239165704,1502554811,0
GSM,645,1,120,907,0,28.276078,-15.412562,1426,2000,1,1239165704,1502553498,0
GSM,645,1,120,897,0,28.276088,-15.41265,1512,2000,1,1239165704,1502553901,0
GSM,645,1,120,8049,0,28.281137,-15.411673,2845,2000,1,1239165707,1502519714,0
GSM,645,1,120,167,0,28.278933,-15.410611,7845,2000,1,1239165707,1502554881,0
GSM,645,1,120,8357,0,28.276153,-15.412523,1350,2000,1,1239165707,1502554939,0
GSM,645,1,120,8359,0,28.276078,-15.412697,2354,1998,1,1239165708,1502554881,0
GSM,645,1,120,157,0,28.281235,-15.419197,2338,500,1,1239165708,1502439878,0
GSM,645,1,120,288,0,28.280368,-15.417978,1576,500,1,1239165708,1502358808,0
GSM,645,1,120,268,0,28.291871,-15.423349,1230,500,1,1239165709,1502409396,0
GSM,645,1,160,277,0,28.31479,-15.435419,2421,375,1,1239165720,1500965202,0
GSM,645,1,160,547,0,28.311127,-15.432823,3140,430,1,1239165720,1501726238,0
GSM,645,1,160,448,0,28.313192,-15.436993,15109,500,1,1239165720,1501726238,0
GSM,645,1,160,19,0,28.317812,-15.420262,11497,859,1,1239165722,1501647193,0
GSM,645,1,150,9017,0,28.29635,-15.44116,2328,22,1,1239165723,1443204740,0
